asv,Kingdom,Phylum,Class,Order,Family,Genus
asv1377,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA
asv1378,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
asv1379,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Marinicella
asv1380,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
asv1381,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
asv1382,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera
asv1383,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA
asv1384,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
asv1385,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,NA,NA
asv1386,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA
asv1387,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib
asv1388,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
asv1389,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia
asv1390,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1391,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas
asv1392,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadales Incertae Sedis,Eilatimonas
asv1393,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
asv1394,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1395,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium
asv1396,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,NA
asv1397,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1398,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1399,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1400,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,SAR92 clade
asv1401,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
asv1402,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1403,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA
asv1404,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group
asv1405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
asv1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cribrihabitans
asv1407,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA
asv1408,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum
asv1409,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
asv1410,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
asv1411,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas
asv1412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1413,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
asv1414,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halobacteroidaceae,NA
asv1415,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1416,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA
asv1417,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
asv1418,Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA
asv1419,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Milano-WF1B-03
asv1420,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA
asv1421,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group
asv1422,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus
asv1423,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,NA
asv1424,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1 aquatic group,NA
asv1425,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2
asv1426,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas
asv1427,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA
asv1428,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group
asv1429,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1430,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1431,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA
asv1432,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group
asv1433,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
asv1434,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia
asv1435,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
asv1436,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1437,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
asv1438,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
asv1439,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,NA,NA
asv1440,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 9,NA,NA
asv1441,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA
asv1442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pseudovibrio
asv1443,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga
asv1444,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,NA,NA
asv1445,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA
asv1446,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus
asv1447,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
asv1448,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA
asv1449,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1450,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1451,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas
asv1452,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Litoricolaceae,Litoricola
asv1453,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group
asv1454,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902
asv1455,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA
asv1456,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus
asv1457,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
asv1458,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade
asv1459,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,NA,NA
asv1460,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
asv1461,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax
asv1462,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group
asv1463,Bacteria,Planctomycetota,OM190,NA,NA,NA
asv1464,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA
asv1465,Bacteria,Proteobacteria,Alphaproteobacteria,Dstr-E11,NA,NA
asv1466,Bacteria,Chloroflexi,TK17,NA,NA,NA
asv1467,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,EC94,NA
asv1468,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia
asv1469,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1470,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopelagicus
asv1471,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopelagicus
asv1472,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1473,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA
asv1474,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1475,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
asv1476,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
asv1477,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
asv1478,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1479,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA
asv1480,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1481,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
asv1482,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium
asv1483,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda
asv1484,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10
asv1485,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
asv1486,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas
asv1487,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
asv1488,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,NA,NA
asv1489,Bacteria,Proteobacteria,Gammaproteobacteria,JTB23,NA,NA
asv1490,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1491,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA
asv1492,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia
asv1494,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella
asv1495,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum
asv1496,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1497,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA
asv1498,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia
asv1499,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
asv1500,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia
asv1501,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA
asv1502,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,NA
asv1503,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
asv1504,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
asv1505,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
asv1506,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus
asv1507,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA
asv1508,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1509,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255 marine benthic group
asv1510,Bacteria,Acidobacteriota,Subgroup 11,NA,NA,NA
asv1511,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA
asv1512,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA
asv1513,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA
asv1514,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas
asv1515,Bacteria,Acidobacteriota,Acidobacteriae,PAUC26f,NA,NA
asv1516,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,NA
asv1517,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Tepidibacter
asv1518,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA
asv1519,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,OM60(NOR5) clade
asv1520,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA
asv1521,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1522,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1523,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadales Incertae Sedis,Eilatimonas
asv1524,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Ferrimonas
asv1525,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA
asv1526,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
asv1527,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Tistlia
asv1528,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1529,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1530,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA
asv1531,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
asv1532,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
asv1533,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA
asv1534,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
asv1535,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA
asv1536,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
asv1537,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
asv1538,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7 marine group,NA
asv1539,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira
asv1540,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1 clade,NA
asv1541,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,NA
asv1542,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
asv1543,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter
asv1544,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda
asv1545,Bacteria,Proteobacteria,Alphaproteobacteria,Dstr-E11,NA,NA
asv1546,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
asv1547,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1548,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group
asv1549,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter
asv1550,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Moritellaceae,Paramoritella
asv1551,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group
asv1552,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA
asv1553,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopelagicus
asv1554,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas
asv1555,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA
asv1556,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39
asv1557,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA
asv1558,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA
asv1559,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Candidatus Methylopumilus
asv1560,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1561,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter
asv1562,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1563,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA
asv1564,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda
asv1565,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA
asv1566,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia
asv1567,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Endozoicomonadaceae,Endozoicomonas
asv1568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1569,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1570,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria Incertae Sedis,Unknown Family,NA
asv1571,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA
asv1572,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
asv1573,Bacteria,PAUC34f,NA,NA,NA,NA
asv1574,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia
asv1575,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
asv1576,Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA
asv1577,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group
asv1578,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade
asv1579,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,NA,NA
asv1580,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia
asv1582,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea
asv1583,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1584,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
asv1585,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1586,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
asv1587,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1588,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib
asv1589,Bacteria,Acidobacteriota,Subgroup 21,NA,NA,NA
asv1590,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,[Caedibacter] taeniospiralis group
asv1591,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,NA,NA
asv1592,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
asv1593,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,NA
asv1594,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
asv1595,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda
asv1596,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
asv1597,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
asv1598,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA
asv1599,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
asv1600,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
asv1601,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
asv1602,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
asv1603,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA
asv1604,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
asv1605,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A clade,NA
asv1606,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1607,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina
asv1608,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1609,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1610,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola
asv1611,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86 clade,NA
asv1612,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Tepidamorphus
asv1613,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
asv1614,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA
asv1615,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA
asv1616,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus
asv1617,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA
asv1618,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
asv1619,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA
asv1620,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,NA
asv1621,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307
asv1622,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,[Synechococcus] spongiarum group
asv1623,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pseudovibrio
asv1624,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Caminicellaceae,Paramaledivibacter
asv1625,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
asv1626,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
asv1627,Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128
asv1628,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,NA,NA
asv1629,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum
asv1630,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group
asv1631,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1632,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
asv1633,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2
asv1634,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Tistlia
asv1635,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
asv1636,Bacteria,Chloroflexi,TK17,NA,NA,NA
asv1637,Bacteria,NA,NA,NA,NA,NA
asv1638,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta
asv1639,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
asv1640,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea
asv1641,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Geitlerinema PCC-7105
asv1642,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA
asv1643,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Geitlerinema PCC-9228
asv1644,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
asv1645,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
asv1646,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group
asv1647,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA
asv1648,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA
